iter	RMSE
0	3.817980755
1	3.816393266
2	3.814867013
3	3.812785568
4	3.811343603
5	3.809318335
6	3.807303326
7	3.80557838
8	3.803833203
9	3.802210621
10	3.80050575
11	3.79885789
12	3.797077638
13	3.79536965
14	3.793646104
15	3.791720649
16	3.789850014
17	3.787989848
18	3.786330842
19	3.784683815
20	3.782749072
21	3.781284566
22	3.779437801
23	3.777844724
24	3.775977664
25	3.774370058
26	3.772334583
27	3.770845923
28	3.769270313
29	3.767461189
30	3.765511211
31	3.763551705
32	3.761873564
33	3.760266158
34	3.758970686
35	3.757319377
36	3.75551254
37	3.754066805
38	3.751730615
39	3.749560357
40	3.747626728
41	3.745704611
42	3.744100473
43	3.742114104
44	3.740516173
45	3.738761569
46	3.736854359
47	3.73472597
48	3.733254185
49	3.731708797
50	3.730440428
51	3.728984807
52	3.727304169
53	3.72587082
54	3.724309788
55	3.722530486
56	3.721012125
57	3.719671159
58	3.717756478
59	3.716434575
60	3.715035533
61	3.713286321
62	3.711604721
63	3.710068595
64	3.708524352
65	3.706984122
66	3.705196333
67	3.703449965
68	3.701764896
69	3.699808122
70	3.698209082
71	3.696631699
72	3.695331937
73	3.693842119
74	3.692193909
75	3.689987631
76	3.688010232
77	3.68644571
78	3.684615831
79	3.683355682
80	3.681567304
81	3.679887126
82	3.678154889
83	3.676765595
84	3.675329143
85	3.673578479
86	3.671562688
87	3.669977212
88	3.668165841
89	3.666770913
90	3.664965022
91	3.663629456
92	3.661810568
93	3.660194759
94	3.658230242
95	3.656427384
96	3.655127156
97	3.653785294
98	3.652319886
99	3.651028158
100	3.649618571
101	3.648359176
102	3.646671981
103	3.645304683
104	3.643923675
105	3.642563807
106	3.640566745
107	3.639124984
108	3.637955674
109	3.63606748
110	3.634804069
111	3.633095646
112	3.631642431
113	3.629941521
114	3.628439637
115	3.626729746
116	3.625302888
117	3.62371912
118	3.622106404
119	3.620622214
120	3.619409112
121	3.617874738
122	3.616198722
123	3.615026431
124	3.613476205
125	3.61216888
126	3.611009963
127	3.609797217
128	3.607979897
129	3.606758953
130	3.605660537
131	3.603953695
132	3.602687921
133	3.601145909
134	3.600032251
135	3.598586241
136	3.597678121
137	3.596288423
138	3.59489373
139	3.59343004
140	3.591914949
141	3.590624327
142	3.589390953
143	3.588081037
144	3.586756205
145	3.585170197
146	3.584027837
147	3.58290817
148	3.581409629
149	3.57999674
150	3.578592596
151	3.577040369
152	3.575214676
153	3.57378847
154	3.572155628
155	3.571202979
156	3.57001833
157	3.568638074
158	3.566877392
159	3.565374707
160	3.563850975
161	3.562701779
162	3.561527112
163	3.560116896
164	3.559074241
165	3.558005982
166	3.556788337
167	3.55533341
168	3.554348673
169	3.55281761
170	3.55122391
171	3.550225357
172	3.548517737
173	3.547172219
174	3.546046479
175	3.544576707
176	3.54323439
177	3.541467519
178	3.540090586
179	3.538827579
180	3.537592005
181	3.536427651
182	3.534963297
183	3.5335109
184	3.532295283
185	3.531012377
186	3.529884626
187	3.528645222
188	3.527433521
189	3.526193605
190	3.524932964
191	3.523824263
192	3.522848569
193	3.521485015
194	3.519967856
195	3.518621058
196	3.517184699
197	3.515717065
198	3.514211276
199	3.512940719
200	3.511856145
201	3.510222069
202	3.509245756
203	3.507898707
204	3.506710077
205	3.505398637
206	3.504186991
207	3.50287707
208	3.501615606
209	3.500537209
210	3.499384134
211	3.498233322
212	3.496856467
213	3.495583659
214	3.494116656
215	3.493048653
216	3.491885689
217	3.490836253
218	3.489431037
219	3.488126003
220	3.487143327
221	3.486120936
222	3.485066226
223	3.484005181
224	3.482788925
225	3.481550286
226	3.480441582
227	3.479255976
228	3.478141931
229	3.477321323
230	3.476131815
231	3.475115942
232	3.474351403
233	3.473185906
234	3.472209122
235	3.47122638
236	3.47012557
237	3.469205326
238	3.467715786
239	3.466544857
240	3.465652659
241	3.464344006
242	3.462852909
243	3.461984157
244	3.461275318
245	3.459883577
246	3.458873092
247	3.457743031
248	3.456451896
249	3.455317296
250	3.454244614
251	3.453357985
252	3.452361662
253	3.451461689
254	3.450280777
255	3.449297149
256	3.448635402
257	3.447657921
258	3.44650057
259	3.445262843
260	3.443999072
261	3.44316012
262	3.441889666
263	3.441147306
264	3.439981671
265	3.439120586
266	3.438205133
267	3.4368828
268	3.435874522
269	3.434975435
270	3.434035538
271	3.432987813
272	3.431610471
273	3.430548706
274	3.429333087
275	3.428188793
276	3.427149534
277	3.426126156
278	3.425081232
279	3.423915169
280	3.423064631
281	3.421758248
282	3.420847521
283	3.419980536
284	3.419389202
285	3.418377027
286	3.417465579
287	3.416050576
288	3.414924217
289	3.413805071
290	3.412677249
291	3.411408635
292	3.410576309
293	3.409618837
294	3.408560532
295	3.407304499
296	3.406250724
297	3.405196804
298	3.403795719
299	3.402435007
300	3.40130269
301	3.399950954
302	3.398760851
303	3.398024854
304	3.397107219
305	3.395977663
306	3.394903847
307	3.393964297
308	3.392937632
309	3.392018076
310	3.390785734
311	3.389626971
312	3.388619006
313	3.387663881
314	3.386563034
315	3.385641747
316	3.38485718
317	3.383814087
318	3.382873462
319	3.381964294
320	3.381087704
321	3.380330168
322	3.379211607
323	3.377763786
324	3.37690345
325	3.375934236
326	3.374837236
327	3.373871997
328	3.373030591
329	3.372259178
330	3.371394694
331	3.370493771
332	3.369596998
333	3.368609211
334	3.367448309
335	3.366594676
336	3.365675799
337	3.364461478
338	3.363331041
339	3.362293555
340	3.361343606
341	3.360397058
342	3.358957463
343	3.358023645
344	3.356926852
345	3.356135389
346	3.355171017
347	3.354271435
348	3.353508208
349	3.35260395
350	3.351264581
351	3.35050619
352	3.349676952
353	3.348510591
354	3.34757478
355	3.346765078
356	3.345703845
357	3.3446255
358	3.343950229
359	3.343065885
360	3.341890207
361	3.340953648
362	3.340120561
363	3.339261788
364	3.3383714
365	3.337586804
366	3.336447076
367	3.335668497
368	3.334615935
369	3.33351218
370	3.33263265
371	3.331820428
372	3.330854199
373	3.330027287
374	3.329234429
375	3.328438048
376	3.327335024
377	3.326666992
378	3.325770451
379	3.324745908
380	3.324051389
381	3.323092178
382	3.322183538
383	3.32127205
384	3.320377952
385	3.319598018
386	3.318820502
387	3.317744012
388	3.316661596
389	3.315909793
390	3.314956967
391	3.314087208
392	3.313254065
393	3.312136863
394	3.311324827
395	3.310300469
396	3.309497296
397	3.308574487
398	3.307734737
399	3.306899807
400	3.305961541
401	3.30476576
402	3.304153247
403	3.303359778
404	3.302637615
405	3.301944422
406	3.301052746
407	3.300294024
408	3.299663305
409	3.298458513
410	3.29784408
411	3.296781124
412	3.296088009
413	3.294826336
414	3.29394677
415	3.293045066
416	3.292157721
417	3.291164113
418	3.290434401
419	3.289703591
420	3.288580451
421	3.2875897
422	3.286761845
423	3.28582083
424	3.284778383
425	3.283953199
426	3.282955605
427	3.282047687
428	3.281369872
429	3.280696051
430	3.279897471
431	3.278762134
432	3.277707097
433	3.276360068
434	3.275476673
435	3.27437087
436	3.273488069
437	3.272799062
438	3.271771498
439	3.270709305
440	3.26988962
441	3.269078971
442	3.268045332
443	3.267116665
444	3.266297211
445	3.265575159
446	3.264400091
447	3.263537072
448	3.262513016
449	3.261754781
450	3.260829616
451	3.259999504
452	3.259195286
453	3.25815397
454	3.257165889
455	3.256400539
456	3.255653757
457	3.254511289
458	3.253600739
459	3.252754189
460	3.251817552
461	3.250876284
462	3.250132027
463	3.249333335
464	3.248319605
465	3.247408648
466	3.246737463
467	3.246174586
468	3.245237001
469	3.244394158
470	3.24369441
471	3.242813523
472	3.242180559
473	3.241173532
474	3.239847089
475	3.238414825
476	3.237683889
477	3.236883649
478	3.236007577
479	3.23537957
480	3.234635749
481	3.233875172
482	3.232902363
483	3.232006327
484	3.231446035
485	3.230598259
486	3.229457236
487	3.228510785
488	3.227717058
489	3.226985991
490	3.225938101
491	3.225227467
492	3.224151087
493	3.223443693
494	3.222600507
495	3.221970461
496	3.221049947
497	3.220146784
498	3.219713872
499	3.219192234
500	3.218661316
501	3.217895622
502	3.217304321
503	3.216440358
504	3.215235828
505	3.214373227
506	3.213794419
507	3.213013941
508	3.2122493
509	3.211492635
510	3.210814998
511	3.20989263
512	3.209335873
513	3.208683047
514	3.208130981
515	3.207290306
516	3.206831051
517	3.206122431
518	3.205309792
519	3.204192377
520	3.203396954
521	3.202519229
522	3.201554801
523	3.200532873
524	3.199600796
525	3.198782163
526	3.198221352
527	3.197762819
528	3.19709095
529	3.19642029
530	3.195657562
531	3.195137205
532	3.194507918
533	3.193912963
534	3.193095189
535	3.192163161
536	3.191422984
537	3.190752195
538	3.18985379
539	3.189113077
540	3.188394815
541	3.187712558
542	3.187060333
543	3.186277273
544	3.185269315
545	3.184490945
546	3.18335315
547	3.18253673
548	3.181738122
549	3.181089807
550	3.180175489
551	3.179485555
552	3.178764342
553	3.177946938
554	3.177527873
555	3.176841536
556	3.176114191
557	3.175285717
558	3.174571124
559	3.173978647
560	3.173007585
561	3.172209687
562	3.171337328
563	3.170724705
564	3.169877221
565	3.168960252
566	3.168077851
567	3.167106634
568	3.166490468
569	3.165745262
570	3.16530082
571	3.164289394
572	3.163573974
573	3.16266814
574	3.161849207
575	3.160766069
576	3.16006858
577	3.159395622
578	3.15891262
579	3.158113894
580	3.157546153
581	3.156712708
582	3.156022332
583	3.155320473
584	3.154105502
585	3.153076212
586	3.152492701
587	3.151957199
588	3.151120906
589	3.150495155
590	3.14950775
591	3.14892299
592	3.148037911
593	3.147468156
594	3.146999877
595	3.145934751
596	3.14485113
597	3.143972356
598	3.142986825
599	3.142306285
600	3.141240941
601	3.140425353
602	3.13986963
603	3.139501745
604	3.138984453
605	3.138505872
606	3.137657447
607	3.137000514
608	3.136184216
609	3.135234877
610	3.134382026
611	3.133605772
612	3.132963634
613	3.132233776
614	3.131642246
615	3.131027371
616	3.130221923
617	3.129446017
618	3.12877199
619	3.127910971
620	3.127323158
621	3.126395384
622	3.125709555
623	3.125162362
624	3.12480113
625	3.12411357
626	3.123485863
627	3.122936503
628	3.122385763
629	3.121572556
630	3.120892285
631	3.120344939
632	3.119590488
633	3.118915221
634	3.118023799
635	3.117391602
636	3.116939771
637	3.116388961
638	3.115776219
639	3.115230943
640	3.11477672
641	3.114161682
642	3.113629289
643	3.113062941
644	3.112369123
645	3.111679212
646	3.111081892
647	3.110455321
648	3.109957086
649	3.108999243
650	3.108184219
651	3.107375133
652	3.106442393
653	3.105885652
654	3.105077356
655	3.1045443
