iter	Passed	Remaining
0	8	15258
1	14	13178
2	26	15488
3	32	14425
4	38	13750
5	44	13308
6	49	12634
7	55	12243
8	62	12243
9	67	12070
10	74	12061
11	80	11893
12	87	11893
13	91	11641
14	96	11426
15	104	11602
16	110	11550
17	117	11513
18	122	11426
19	130	11500
20	138	11658
21	144	11613
22	151	11590
23	158	11658
24	166	11747
25	173	11728
26	182	11880
27	189	11896
28	198	12035
29	206	12082
30	213	12060
31	219	12004
32	226	12007
33	234	12088
34	243	12184
35	253	12300
36	259	12252
37	268	12358
38	275	12338
39	283	12392
40	292	12451
41	300	12479
42	308	12524
43	317	12577
44	324	12560
45	333	12630
46	340	12607
47	349	12640
48	356	12630
49	364	12644
50	370	12605
51	376	12568
52	389	12727
53	406	13028
54	414	13057
55	421	13011
56	436	13243
57	445	13280
58	450	13191
59	455	13095
60	462	13083
61	468	13017
62	473	12952
63	483	13007
64	502	13305
65	512	13365
66	527	13537
67	538	13614
68	560	13949
69	568	13924
70	579	13998
71	586	13958
72	594	13950
73	600	13881
74	607	13864
75	613	13809
76	620	13778
77	626	13726
78	632	13666
79	638	13608
80	643	13549
81	651	13543
82	659	13523
83	666	13501
84	676	13540
85	688	13613
86	695	13576
87	703	13582
88	711	13565
89	718	13533
90	729	13579
91	738	13589
92	744	13557
93	751	13519
94	757	13485
95	762	13426
96	771	13425
97	776	13374
98	783	13343
99	791	13349
100	796	13288
101	803	13266
102	807	13194
103	811	13122
104	816	13075
105	822	13029
106	826	12973
107	831	12916
108	837	12877
109	841	12827
110	845	12761
111	854	12774
112	859	12730
113	866	12707
114	871	12665
115	875	12604
116	879	12549
117	885	12523
118	891	12487
119	897	12454
120	903	12429
121	907	12374
122	910	12315
123	916	12289
124	920	12232
125	923	12172
126	927	12119
127	933	12089
128	938	12055
129	942	12007
130	948	11987
131	954	11956
132	959	11922
133	964	11889
134	969	11854
135	973	11813
136	977	11764
137	981	11725
138	985	11677
139	989	11629
140	994	11605
141	1001	11598
142	1007	11580
143	1011	11531
144	1015	11495
